round,model,r2_score,weight
1,rf-m,-0.19012299078187506,0.16666666666666666
1,rf-l,-0.20033510294964474,0.16666666666666666
1,gb-l,-0.29548911964946944,0.16666666666666666
1,svr-rbf,-0.07305669415951177,0.16666666666666666
1,svr-poly,-0.07305669415951177,0.16666666666666666
1,ridge,-0.21582048855322872,0.16666666666666666
1,rf-m,-0.19012299078187506,0.16666666666666666
1,rf-l,-0.20033510294964474,0.16666666666666666
1,gb-l,-0.29548911964946944,0.16666666666666666
1,svr-rbf,-0.07305669415951177,0.16666666666666666
1,svr-poly,-0.07305669415951177,0.16666666666666666
1,ridge,-0.21582048855322872,0.16666666666666666
2,rf-m,-0.019589445249642855,0.1
2,rf-l,-0.05943545735126001,0.1
2,gb-m,-0.22473146863324364,0.1
2,gb-l,-0.21832935969189043,0.1
2,xgb-m,-0.18309599077952465,0.1
2,knn-m,-0.012321605942611114,0.1
2,knn-tuned,-0.012321605942611114,0.1
2,svr-rbf,0.08755059246422277,0.1
2,svr-poly,0.08755059246422277,0.1
2,ridge,0.05064183255017833,0.1
2,rf-m,-0.019589445249642855,0.1
2,rf-l,-0.05943545735126001,0.1
2,gb-m,-0.22473146863324364,0.1
2,gb-l,-0.21832935969189043,0.1
2,xgb-m,-0.18309599077952465,0.1
2,knn-m,-0.012321605942611114,0.1
2,knn-tuned,-0.012321605942611114,0.1
2,svr-rbf,0.08755059246422277,0.1
2,svr-poly,0.08755059246422277,0.1
2,ridge,0.05064183255017833,0.1
2,rf-m,-0.019589445249642855,0.1
2,rf-l,-0.05943545735126001,0.1
2,gb-m,-0.22473146863324364,0.1
2,gb-l,-0.21832935969189043,0.1
2,xgb-m,-0.18309599077952465,0.1
2,knn-m,-0.012321605942611114,0.1
2,knn-tuned,-0.012321605942611114,0.1
2,svr-rbf,0.08755059246422277,0.1
2,svr-poly,0.08755059246422277,0.1
2,ridge,0.05064183255017833,0.1
3,rf-m,-0.05807523146153968,0.1
3,rf-l,-0.0721250965505809,0.1
3,gb-m,-0.16889243084487368,0.1
3,gb-l,-0.16757341872641612,0.1
3,xgb-m,-0.21779008216916584,0.1
3,knn-m,-0.11662898688040961,0.1
3,knn-tuned,-0.11662898688040961,0.1
3,svr-rbf,0.012002589605971536,0.1
3,svr-poly,0.012002589605971536,0.1
3,ridge,-0.05042321315457503,0.1
3,rf-m,-0.05807523146153968,0.1
3,rf-l,-0.0721250965505809,0.1
3,gb-m,-0.16889243084487368,0.1
3,gb-l,-0.16757341872641612,0.1
3,xgb-m,-0.21779008216916584,0.1
3,knn-m,-0.11662898688040961,0.1
3,knn-tuned,-0.11662898688040961,0.1
3,svr-rbf,0.012002589605971536,0.1
3,svr-poly,0.012002589605971536,0.1
3,ridge,-0.05042321315457503,0.1
3,rf-m,-0.05807523146153968,0.1
3,rf-l,-0.0721250965505809,0.1
3,gb-m,-0.16889243084487368,0.1
3,gb-l,-0.16757341872641612,0.1
3,xgb-m,-0.21779008216916584,0.1
3,knn-m,-0.11662898688040961,0.1
3,knn-tuned,-0.11662898688040961,0.1
3,svr-rbf,0.012002589605971536,0.1
3,svr-poly,0.012002589605971536,0.1
3,ridge,-0.05042321315457503,0.1
4,rf-m,0.06265106488828423,0.1
4,rf-l,0.05175541012276015,0.1
4,gb-m,0.007322054983232418,0.1
4,gb-l,0.007322054983232351,0.1
4,xgb-m,-0.12318647099850681,0.1
4,knn-m,-0.07512689289700683,0.1
4,knn-tuned,-0.07512689289700683,0.1
4,svr-rbf,0.1256011116894783,0.1
4,svr-poly,0.1256011116894783,0.1
4,ridge,0.05800672855913145,0.1
4,rf-m,0.06265106488828423,0.1
4,rf-l,0.05175541012276015,0.1
4,gb-m,0.007322054983232418,0.1
4,gb-l,0.007322054983232351,0.1
4,xgb-m,-0.12318647099850681,0.1
4,knn-m,-0.07512689289700683,0.1
4,knn-tuned,-0.07512689289700683,0.1
4,svr-rbf,0.1256011116894783,0.1
4,svr-poly,0.1256011116894783,0.1
