round,model,r2_score,weight
1,rf-s,-0.2075781567401282,0.2
1,knn-xs,-0.1638804423210841,0.2
1,knn-s,-0.1638804423210841,0.2
1,ridge,-0.07522536074750774,0.2
1,svr-rbf-s,-0.06024885115643772,0.2
1,rf-s,-0.2075781567401282,0.2
1,knn-xs,-0.1638804423210841,0.2
1,knn-s,-0.1638804423210841,0.2
1,ridge,-0.07522536074750774,0.2
1,svr-rbf-s,-0.06024885115643772,0.2
2,rf-m,-0.05146480597514176,0.14285714285714285
2,rf-l,-0.10294557116493464,0.14285714285714285
2,knn-m,-0.22292613036082112,0.14285714285714285
2,knn-tuned,-0.22292613036082112,0.14285714285714285
2,svr-rbf,-0.062390795077069704,0.14285714285714285
2,svr-poly,-0.062390795077069704,0.14285714285714285
2,ridge,-0.09257078065790122,0.14285714285714285
2,rf-m,-0.05146480597514176,0.14285714285714285
2,rf-l,-0.10294557116493464,0.14285714285714285
2,knn-m,-0.22292613036082112,0.14285714285714285
2,knn-tuned,-0.22292613036082112,0.14285714285714285
2,svr-rbf,-0.062390795077069704,0.14285714285714285
2,svr-poly,-0.062390795077069704,0.14285714285714285
2,ridge,-0.09257078065790122,0.14285714285714285
3,rf-m,-0.096406738020779,0.16340790441822903
3,rf-l,-0.10396912446831515,0.1515060701938802
3,gb-m,-0.23685648587534397,0.04011507012738666
3,gb-l,-0.24951061182898907,0.035346904376402075
3,xgb-m,-0.14838558294274512,0.09716991107369496
3,knn-m,-0.2032530036510168,0.05613653787842288
3,knn-tuned,-0.2032530036510168,0.05613653787842288
3,svr-rbf,-0.0852388215802351,0.18271521167432792
3,svr-poly,-0.0852388215802351,0.18271521167432792
3,ridge,-0.2512118926724174,0.03475064070490544
3,rf-m,-0.096406738020779,0.16340790441822903
3,rf-l,-0.10396912446831515,0.1515060701938802
3,gb-m,-0.23685648587534397,0.04011507012738666
3,gb-l,-0.24951061182898907,0.035346904376402075
3,xgb-m,-0.14838558294274512,0.09716991107369496
3,knn-m,-0.2032530036510168,0.05613653787842288
3,knn-tuned,-0.2032530036510168,0.05613653787842288
3,svr-rbf,-0.0852388215802351,0.18271521167432792
3,svr-poly,-0.0852388215802351,0.18271521167432792
3,ridge,-0.2512118926724174,0.03475064070490544
4,rf-m,-0.22242594219011683,0.15502445573726778
4,rf-l,-0.2182845702859991,0.16157939026499316
4,knn-m,-0.2938233720189344,0.07591456666332835
4,knn-tuned,-0.2938233720189344,0.07591456666332835
4,svr-rbf,-0.20168435846116134,0.19075668600931145
4,svr-poly,-0.20168435846116134,0.19075668600931145
4,ridge,-0.22568494174896844,0.15005364865245943
4,rf-m,-0.22242594219011683,0.15502445573726778
4,rf-l,-0.2182845702859991,0.16157939026499316
4,knn-m,-0.2938233720189344,0.07591456666332835
4,knn-tuned,-0.2938233720189344,0.07591456666332835
4,svr-rbf,-0.20168435846116134,0.19075668600931145
4,svr-poly,-0.20168435846116134,0.19075668600931145
4,ridge,-0.22568494174896844,0.15005364865245943
5,rf-m,-0.09434688009771577,0.15466102950147792
5,rf-l,-0.07345042789433168,0.1906044498984564
5,gb-m,-0.2265620139748102,0.04122663289228066
5,gb-l,-0.23395368218500695,0.03828919704196644
5,xgb-m,-0.14018795166635983,0.09779027163113083
5,knn-m,-0.13150585397049266,0.10665998632672061
5,knn-tuned,-0.13150585397049266,0.10665998632672061
5,svr-rbf,-0.1357344159280221,0.10224383067462464
5,svr-poly,-0.1357344159280221,0.10224383067462464
5,ridge,-0.18967003612598687,0.05962078503199717
5,rf-m,-0.09434688009771577,0.15466102950147792
5,rf-l,-0.07345042789433168,0.1906044498984564
5,gb-m,-0.2265620139748102,0.04122663289228066
5,gb-l,-0.23395368218500695,0.03828919704196644
5,xgb-m,-0.14018795166635983,0.09779027163113083
5,knn-m,-0.13150585397049266,0.10665998632672061
5,knn-tuned,-0.13150585397049266,0.10665998632672061
5,svr-rbf,-0.1357344159280221,0.10224383067462464
5,svr-poly,-0.1357344159280221,0.10224383067462464
5,ridge,-0.18967003612598687,0.05962078503199717
6,rf-m,-0.04802169911127061,0.11690387161639541
6,rf-l,-0.04622230639460116,0.11902647104632708
6,gb-m,-0.09218595718220288,0.07516678212207523
6,gb-l,-0.09264473375114772,0.07482272436971052
6,xgb-m,-0.11633378181171847,0.05904094344773905
6,knn-m,-0.020523486346829566,0.1539047823281938
6,knn-tuned,-0.020523486346829566,0.1539047823281938
6,svr-rbf,-0.06143095140869574,0.10223350524379138
6,svr-poly,-0.06143095140869574,0.10223350524379138
6,ridge,-0.14859043350372483,0.0427626322537824
6,rf-m,-0.04802169911127061,0.11690387161639541
6,rf-l,-0.04622230639460116,0.11902647104632708
6,gb-m,-0.09218595718220288,0.07516678212207523
6,gb-l,-0.09264473375114772,0.07482272436971052
6,xgb-m,-0.11633378181171847,0.05904094344773905
6,knn-m,-0.020523486346829566,0.1539047823281938
6,knn-tuned,-0.020523486346829566,0.1539047823281938
6,svr-rbf,-0.06143095140869574,0.10223350524379138
6,svr-poly,-0.06143095140869574,0.10223350524379138
6,ridge,-0.14859043350372483,0.0427626322537824
7,rf-m,0.011021278414939717,0.08789174763446002
7,rf-l,0.04114674703568755,0.11879040087212066
7,gb-m,0.05408341500683944,0.13519623054498775
7,gb-l,0.057732563803945355,0.1402208627521992
7,xgb-m,0.020351727593452808,0.09648720496347687
7,knn-m,0.044915096986524,0.1233522523246164
7,knn-tuned,0.044915096986524,0.1233522523246164
7,svr-rbf,0.0030404422060807956,0.08114985885329817
7,svr-poly,0.0030404422060807956,0.08114985885329817
7,ridge,-0.18474444528603975,0.012409330876926352
7,rf-m,0.011021278414939717,0.08789174763446002
7,rf-l,0.04114674703568755,0.11879040087212066
7,gb-m,0.05408341500683944,0.13519623054498775
7,gb-l,0.057732563803945355,0.1402208627521992
7,xgb-m,0.020351727593452808,0.09648720496347687
7,knn-m,0.044915096986524,0.1233522523246164
7,knn-tuned,0.044915096986524,0.1233522523246164
7,svr-rbf,0.0030404422060807956,0.08114985885329817
7,svr-poly,0.0030404422060807956,0.08114985885329817
7,ridge,-0.18474444528603975,0.012409330876926352
7,rf-m,0.011021278414939717,0.08789174763446002
7,rf-l,0.04114674703568755,0.11879040087212066
7,gb-m,0.05408341500683944,0.13519623054498775
7,gb-l,0.057732563803945355,0.1402208627521992
7,xgb-m,0.020351727593452808,0.09648720496347687
7,knn-m,0.044915096986524,0.1233522523246164
7,knn-tuned,0.044915096986524,0.1233522523246164
7,svr-rbf,0.0030404422060807956,0.08114985885329817
7,svr-poly,0.0030404422060807956,0.08114985885329817
7,ridge,-0.18474444528603975,0.012409330876926352
8,rf-m,0.04125228662503746,0.13004502887556638
8,rf-l,0.012012674157124459,0.09707507437406988
8,gb-m,0.04418525682534084,0.13391569610923487
8,gb-l,0.04463218372700015,0.13451554081591308
8,xgb-m,-0.022283547648978597,0.0688907849441522
8,knn-m,0.01949293070530069,0.10461502745710892
8,knn-tuned,0.01949293070530069,0.10461502745710892
8,svr-rbf,0.021581370306512637,0.1068228231136839
8,svr-poly,0.021581370306512637,0.1068228231136839
8,ridge,-0.19151605353220527,0.012682173739478018
8,rf-m,0.04125228662503746,0.13004502887556638
8,rf-l,0.012012674157124459,0.09707507437406988
8,gb-m,0.04418525682534084,0.13391569610923487
8,gb-l,0.04463218372700015,0.13451554081591308
8,xgb-m,-0.022283547648978597,0.0688907849441522
8,knn-m,0.01949293070530069,0.10461502745710892
8,knn-tuned,0.01949293070530069,0.10461502745710892
8,svr-rbf,0.021581370306512637,0.1068228231136839
8,svr-poly,0.021581370306512637,0.1068228231136839
8,ridge,-0.19151605353220527,0.012682173739478018
8,rf-m,0.04125228662503746,0.13004502887556638
8,rf-l,0.012012674157124459,0.09707507437406988
8,gb-m,0.04418525682534084,0.13391569610923487
8,gb-l,0.04463218372700015,0.13451554081591308
8,xgb-m,-0.022283547648978597,0.0688907849441522
8,knn-m,0.01949293070530069,0.10461502745710892
8,knn-tuned,0.01949293070530069,0.10461502745710892
8,svr-rbf,0.021581370306512637,0.1068228231136839
8,svr-poly,0.021581370306512637,0.1068228231136839
8,ridge,-0.19151605353220527,0.012682173739478018
9,rf-tuned-l,-0.015619378189779699,0.10287304960454384
9,rf-tuned-xl,-0.014981547159903009,0.10353130287648087
9,gb-tuned-l,-0.0341208096821352,0.08549700832737028
9,gb-tuned-xl,-0.042047285242008,0.07898173549005845
9,xgb-xl,-0.03861043389781751,0.0817434057447067
9,xgb-l,-0.03861043389781751,0.0817434057447067
9,svr-rbf-xl,0.027459173384314826,0.15826664159793788
9,svr-poly-l,0.027459173384314826,0.15826664159793788
9,knn-tuned-sqrt,-0.05799081636552363,0.0673418117694003
9,knn-tuned-l,-0.05799081636552363,0.0673418117694003
9,ridge,-0.21215460360492572,0.01441318547745684
