round,model,r2_score,weight
1,rf-xs,-0.2869318924831952,0.25
1,rf-s,-0.2653206013272319,0.25
1,ridge,-0.27901910843640365,0.25
1,svr-rbf-s,-0.19748564127395732,0.25
1,rf-xs,-0.2869318924831952,0.25
1,rf-s,-0.2653206013272319,0.25
1,ridge,-0.27901910843640365,0.25
1,svr-rbf-s,-0.19748564127395732,0.25
2,rf-m,-0.14734491067355665,0.16666666666666666
2,rf-l,-0.12759489010562225,0.16666666666666666
2,xgb-m,-0.23292914973634887,0.16666666666666666
2,svr-rbf,-0.11863377770414045,0.16666666666666666
2,svr-poly,-0.11863377770414045,0.16666666666666666
2,ridge,-0.1703928971417934,0.16666666666666666
2,rf-m,-0.14734491067355665,0.16666666666666666
2,rf-l,-0.12759489010562225,0.16666666666666666
2,xgb-m,-0.23292914973634887,0.16666666666666666
2,svr-rbf,-0.11863377770414045,0.16666666666666666
2,svr-poly,-0.11863377770414045,0.16666666666666666
2,ridge,-0.1703928971417934,0.16666666666666666
3,rf-m,-0.14483002432934738,0.1872447201256824
3,rf-l,-0.1822824626335881,0.1287525109698074
3,knn-m,-0.2466120018852925,0.06766686690217497
3,knn-tuned,-0.2466120018852925,0.06766686690217497
3,svr-rbf,-0.1376326974896484,0.20121816017492775
3,svr-poly,-0.1376326974896484,0.20121816017492775
3,ridge,-0.16955173789821648,0.14623271475030483
3,rf-m,-0.14483002432934738,0.1872447201256824
3,rf-l,-0.1822824626335881,0.1287525109698074
3,knn-m,-0.2466120018852925,0.06766686690217497
3,knn-tuned,-0.2466120018852925,0.06766686690217497
3,svr-rbf,-0.1376326974896484,0.20121816017492775
3,svr-poly,-0.1376326974896484,0.20121816017492775
3,ridge,-0.16955173789821648,0.14623271475030483
4,rf-m,-0.09940441149862336,0.14344352344342148
4,rf-l,-0.1018410407864552,0.1399905751519786
4,gb-m,-0.20489561020166525,0.049950344693827406
4,gb-l,-0.20858726891560436,0.04813997045907911
4,knn-m,-0.16191734210321623,0.0767698578215359
4,knn-tuned,-0.16191734210321623,0.0767698578215359
4,svr-rbf,-0.06742775548770756,0.19749395040033363
4,svr-poly,-0.06742775548770756,0.19749395040033363
4,ridge,-0.17122338306489918,0.06994796980795435
4,rf-m,-0.09940441149862336,0.14344352344342148
4,rf-l,-0.1018410407864552,0.1399905751519786
4,gb-m,-0.20489561020166525,0.049950344693827406
4,gb-l,-0.20858726891560436,0.04813997045907911
4,knn-m,-0.16191734210321623,0.0767698578215359
4,knn-tuned,-0.16191734210321623,0.0767698578215359
4,svr-rbf,-0.06742775548770756,0.19749395040033363
4,svr-poly,-0.06742775548770756,0.19749395040033363
4,ridge,-0.17122338306489918,0.06994796980795435
5,rf-m,-0.07074454386755229,0.07932141133932046
5,rf-l,-0.03788131108412558,0.11018275808946165
5,gb-m,-0.1730361417429161,0.028519615615033328
5,gb-l,-0.1709986264135108,0.029106667481709668
5,xgb-m,-0.22893320220536725,0.016307441104084323
5,knn-m,9.410063609556207e-05,0.16107893776601365
5,knn-tuned,9.410063609556207e-05,0.16107893776601365
5,svr-rbf,0.002259561137657773,0.16460507935196286
5,svr-poly,0.002259561137657773,0.16460507935196286
5,ridge,-0.06360216796228028,0.08519407213443764
5,rf-m,-0.07074454386755229,0.07932141133932046
5,rf-l,-0.03788131108412558,0.11018275808946165
5,gb-m,-0.1730361417429161,0.028519615615033328
5,gb-l,-0.1709986264135108,0.029106667481709668
5,xgb-m,-0.22893320220536725,0.016307441104084323
5,knn-m,9.410063609556207e-05,0.16107893776601365
5,knn-tuned,9.410063609556207e-05,0.16107893776601365
5,svr-rbf,0.002259561137657773,0.16460507935196286
5,svr-poly,0.002259561137657773,0.16460507935196286
5,ridge,-0.06360216796228028,0.08519407213443764
5,rf-m,-0.07074454386755229,0.07932141133932046
5,rf-l,-0.03788131108412558,0.11018275808946165
5,gb-m,-0.1730361417429161,0.028519615615033328
5,gb-l,-0.1709986264135108,0.029106667481709668
5,xgb-m,-0.22893320220536725,0.016307441104084323
5,knn-m,9.410063609556207e-05,0.16107893776601365
5,knn-tuned,9.410063609556207e-05,0.16107893776601365
5,svr-rbf,0.002259561137657773,0.16460507935196286
5,svr-poly,0.002259561137657773,0.16460507935196286
5,ridge,-0.06360216796228028,0.08519407213443764
6,rf-m,-0.01420259127700818,0.10443059907465219
6,rf-l,-0.0030324147778776787,0.11677213737684529
6,gb-m,-0.06353013137949559,0.06376773402033727
6,gb-l,-0.059467232590774646,0.06641190376285877
6,xgb-m,-0.08558233899605212,0.051148095081670196
6,knn-m,-0.0393252638841056,0.08123092309936375
6,knn-tuned,-0.0393252638841056,0.08123092309936375
6,svr-rbf,0.04639167953416221,0.19141913256949564
6,svr-poly,0.04639167953416221,0.19141913256949564
6,ridge,-0.0836052152925224,0.052169419345917435
6,rf-m,-0.01420259127700818,0.10443059907465219
6,rf-l,-0.0030324147778776787,0.11677213737684529
6,gb-m,-0.06353013137949559,0.06376773402033727
6,gb-l,-0.059467232590774646,0.06641190376285877
6,xgb-m,-0.08558233899605212,0.051148095081670196
6,knn-m,-0.0393252638841056,0.08123092309936375
6,knn-tuned,-0.0393252638841056,0.08123092309936375
6,svr-rbf,0.04639167953416221,0.19141913256949564
6,svr-poly,0.04639167953416221,0.19141913256949564
6,ridge,-0.0836052152925224,0.052169419345917435
6,rf-m,-0.01420259127700818,0.10443059907465219
6,rf-l,-0.0030324147778776787,0.11677213737684529
6,gb-m,-0.06353013137949559,0.06376773402033727
6,gb-l,-0.059467232590774646,0.06641190376285877
6,xgb-m,-0.08558233899605212,0.051148095081670196
6,knn-m,-0.0393252638841056,0.08123092309936375
6,knn-tuned,-0.0393252638841056,0.08123092309936375
6,svr-rbf,0.04639167953416221,0.19141913256949564
6,svr-poly,0.04639167953416221,0.19141913256949564
6,ridge,-0.0836052152925224,0.052169419345917435
7,rf-m,-0.030728962349928925,0.08344836114826679
7,rf-l,-0.025716000977482188,0.08773822145582504
7,gb-m,-0.0754589943575829,0.053352865684937814
7,gb-l,-0.07193709575963048,0.05526538024266188
7,xgb-m,-0.12225162602891784,0.03341488216005494
7,knn-m,-0.030861959756376466,0.08333745076253334
7,knn-tuned,-0.030861959756376466,0.08333745076253334
7,svr-rbf,0.06489448809238103,0.2171226748317358
7,svr-poly,0.06489448809238103,0.2171226748317358
7,ridge,-0.02787991279161415,0.08586003811971515
7,rf-m,-0.030728962349928925,0.08344836114826679
7,rf-l,-0.025716000977482188,0.08773822145582504
7,gb-m,-0.0754589943575829,0.053352865684937814
7,gb-l,-0.07193709575963048,0.05526538024266188
7,xgb-m,-0.12225162602891784,0.03341488216005494
7,knn-m,-0.030861959756376466,0.08333745076253334
7,knn-tuned,-0.030861959756376466,0.08333745076253334
7,svr-rbf,0.06489448809238103,0.2171226748317358
7,svr-poly,0.06489448809238103,0.2171226748317358
7,ridge,-0.02787991279161415,0.08586003811971515
7,rf-m,-0.030728962349928925,0.08344836114826679
7,rf-l,-0.025716000977482188,0.08773822145582504
7,gb-m,-0.0754589943575829,0.053352865684937814
7,gb-l,-0.07193709575963048,0.05526538024266188
7,xgb-m,-0.12225162602891784,0.03341488216005494
7,knn-m,-0.030861959756376466,0.08333745076253334
7,knn-tuned,-0.030861959756376466,0.08333745076253334
7,svr-rbf,0.06489448809238103,0.2171226748317358
7,svr-poly,0.06489448809238103,0.2171226748317358
7,ridge,-0.02787991279161415,0.08586003811971515
8,rf-m,-0.02446238751482539,0.09783111747085847
8,rf-l,3.195467689300902e-05,0.12498404921748671
8,gb-m,-0.09622551261508669,0.047732449516919614
8,gb-l,-0.09622551261508669,0.047732449516919614
8,xgb-m,-0.1447721613574672,0.029375029083963906
8,knn-m,-0.06157371563646754,0.06750012297753404
8,knn-tuned,-0.06157371563646754,0.06750012297753404
8,svr-rbf,0.05353614639178681,0.21341274061235954
8,svr-poly,0.05353614639178681,0.21341274061235954
8,ridge,-0.03223048361175205,0.09051917801406435
8,rf-m,-0.02446238751482539,0.09783111747085847
8,rf-l,3.195467689300902e-05,0.12498404921748671
8,gb-m,-0.09622551261508669,0.047732449516919614
8,gb-l,-0.09622551261508669,0.047732449516919614
8,xgb-m,-0.1447721613574672,0.029375029083963906
8,knn-m,-0.06157371563646754,0.06750012297753404
8,knn-tuned,-0.06157371563646754,0.06750012297753404
8,svr-rbf,0.05353614639178681,0.21341274061235954
8,svr-poly,0.05353614639178681,0.21341274061235954
8,ridge,-0.03223048361175205,0.09051917801406435
8,rf-m,-0.02446238751482539,0.09783111747085847
8,rf-l,3.195467689300902e-05,0.12498404921748671
8,gb-m,-0.09622551261508669,0.047732449516919614
8,gb-l,-0.09622551261508669,0.047732449516919614
8,xgb-m,-0.1447721613574672,0.029375029083963906
8,knn-m,-0.06157371563646754,0.06750012297753404
8,knn-tuned,-0.06157371563646754,0.06750012297753404
8,svr-rbf,0.05353614639178681,0.21341274061235954
8,svr-poly,0.05353614639178681,0.21341274061235954
8,ridge,-0.03223048361175205,0.09051917801406435
9,rf-tuned-l,-0.02886604934018875,0.11801978218965414
9,rf-tuned-xl,-0.03476243851412262,0.11126206497174597
9,gb-tuned-l,-0.09629203017504721,0.0601350248344714
9,gb-tuned-xl,-0.09565295965439335,0.06052056066154327
9,xgb-xl,-0.2015284176954168,0.020993829737751685
9,xgb-l,-0.2015284176954168,0.020993829737751685
9,svr-rbf-xl,0.022711662464605632,0.19767600936684432
9,svr-poly-l,0.022711662464605632,0.19767600936684432
9,knn-tuned-sqrt,-0.11141730671414914,0.05169389463373453
9,knn-tuned-l,-0.11141730671414914,0.05169389463373453
9,ridge,-0.03650952725958327,0.10933509986592424
9,rf-tuned-l,-0.02886604934018875,0.11801978218965414
9,rf-tuned-xl,-0.03476243851412262,0.11126206497174597
9,gb-tuned-l,-0.09629203017504721,0.0601350248344714
